pyani,fastani,MashANI,orthoANI,avg_cANI_k21_sc1,avg_cANI_k21_sc10,avg_cANI_k21_sc100,avg_cANI_k21_sc1000
0.990180633,0.9888195,0.9872707,0.990727,0.987483422,0.987459643,0.987471134,0.987204227
0.990824693,0.9895445,0.9881073,0.991069,0.988172251,0.988110605,0.988129705,0.988132404
0.990546114,0.990319,0.9890429,0.990159,0.988209497,0.988187055,0.988239845,0.988268324
0.836007868,0.845947,0.854273,0.836377,0.871843466,0.871710003,0.871181906,0.873849158
0.835517793,0.8452225,0.852293,0.834059,0.86905425,0.868805955,0.868235442,0.867817927
0.934798906,0.937329,0.9381568,0.93551,0.942722227,0.942747469,0.942919797,0.943179306
0.788337125,0.8087305,0.789103,0.783338,0.830536568,0.830414781,0.828369984,0.825869823
0.791834641,0.814397,0.813239,0.787101,0.842499267,0.842741672,0.840596427,0.840317554
0.698868292,0,0,0.680502,0.709565539,0.709280571,0.714868726,0.727104233
0.69497802,0,0,0.66419,0.671569704,0.669761904,0.666222185,0
0.718350716,0,0.704019,0.683189,0.718115165,0.720176314,0.716557655,0.738145169
0.708682339,0,0,0.675429,0.710292747,0.708481063,0.712001394,0.726441039
0.715433527,0,0,0.681488,0.721546838,0.721471355,0.720203943,0.727218742
0.703396387,0,0,0.668073,0.696526462,0.696703098,0.687976952,0.695454834
0.704942189,0,0,0.661813,0.692279942,0.695093671,0.696572824,0.702062057
0.698119668,0,0,0.657702,0.678637111,0.679899942,0.675120688,0.672275144
0.694359981,0,0,0.652539,0.68540808,0.683783658,0.681742951,0.713761028
0.698445481,0,0,0.656657,0.685764899,0.688276005,0.684283551,0.658915351
0.710582273,0,0,0.636575,0.636198646,0.63659541,0.608443439,0
0.683811321,0,0,0.623885,0.628045439,0.626829832,0.601375997,0
0.718448321,0,0,0.645147,0.628400504,0.629514413,0,0
0.998634253,0.9988395,0.999119047,0.998611,0.999165255,0.999165054,0.99915652,0.999288256
0.998886983,0.9979615,0.99847786,0.999158,0.998759897,0.998764809,0.998751073,0.998749724
0.998648697,0.998822,0.9988911,0.998708,0.999127279,0.999127893,0.999133417,0.999116929
0.731187875,0,0.756239,0.721038,0.765499066,0.765549111,0.767818773,0.774206067
0.730787642,0,0.756239,0.720468,0.765851779,0.765680401,0.76635026,0.775531312
0.731275049,0,0.756239,0.721544,0.766214397,0.766521443,0.767738173,0.773098079
0.703050722,0,0,0.669094,0.704631501,0.703358759,0.711024796,0.680663231
0.701070937,0,0,0.675404,0.707603463,0.705969871,0.710074098,0
0.73589051,0.7723425,0.704019,0.720804,0.768510351,0.768813316,0.768156413,0.768570185
0.719088155,0,0,0.696213,0.725496407,0.727007076,0.726774965,0.7208967
0.716236119,0,0.704019,0.692206,0.732300835,0.732731417,0.738835273,0.699159308
0.710558179,0,0,0.686861,0.725847846,0.724083024,0.71990156,0.70299532
0.716339145,0,0,0.691046,0.728249863,0.728339132,0.728451248,0.701467139
0.699464649,0,0,0.662653,0.693356906,0.692977563,0.693011139,0.679878292
0.710615162,0,0,0.68123,0.711368554,0.7102269,0.705233705,0
0.691897566,0,0,0.644861,0.670780261,0.67222544,0.666845047,0.683148514
0.694992596,0,0,0.646068,0.671429691,0.668575267,0.666233998,0.682769671
0.672001429,0,0,0.641143,0.627395018,0.616371936,0.633999057,0
0.341035,0,0,0.600833,0.55754008,0.576313499,0,0
0.691790536,0,0,0.641248,0.677941506,0.677557285,0.666511515,0.666363063
0.69098584,0,0,0.650409,0.689521287,0.691968013,0.693066776,0.685775738
0.988070542,0.9872355,0.9875065,0.988307,0.986604283,0.986640389,0.986467142,0.98651869
0.992232397,0.9921185,0.9915005,0.993007,0.99089773,0.990934652,0.99085564,0.990983335
0.991917131,0.9919285,0.99122893,0.99312,0.991092412,0.991142512,0.991072639,0.991225712
0.821245258,0.847162,0.861428,0.820535,0.86805129,0.868363494,0.868033068,0.868209652
0.934785555,0.940441,0.9509,0.935557,0.950419964,0.950489962,0.950589239,0.950993164
0.934402528,0.940274,0.9476851,0.936109,0.946963464,0.947024947,0.947077034,0.946883952
0.774320522,0.8007225,0.813239,0.764309,0.816847946,0.817733604,0.817673987,0.82091517
0.771895713,0.7984885,0.817731,0.764808,0.813395978,0.813828107,0.812434229,0.810024133
0.762125855,0.7893735,0.802708,0.751899,0.795053085,0.795086238,0.79361621,0.795882862
0.696486653,0,0,0.649927,0.673568179,0.676378868,0.675146994,0.689442361
0.700310183,0,0,0.650588,0.673889527,0.676473635,0.675221365,0.689517696
0.696051667,0,0,0.64544,0.674094311,0.676565691,0.675369943,0.689589177
0.677676202,0,0,0.637848,0.626653235,0.632031132,0,0
0.718150441,0,0,0.692764,0.741350013,0.742785368,0.737622815,0.734278735
0.704968956,0,0,0.670783,0.695398496,0.699703814,0.690250483,0.677284108
0.701419105,0,0,0.657724,0.696832146,0.696164568,0.695553053,0.692785412
0.703987994,0,0,0.665435,0.723717241,0.725033553,0.722575431,0.71782498
0.704853153,0,0.704019,0.667288,0.714501418,0.712816794,0.705703591,0.701762267
0.746401667,0,0,0.670375,0.638103697,0.642727676,0.626878162,0
0.676233547,0,0,0.631222,0.623733106,0.624811517,0.631652426,0
0.7291225,0,0,0.6662,0.632874087,0.638715265,0.607230499,0.678199151
0.985340643,0.986028,0.9871757,0.985756,0.987537526,0.987554896,0.987574729,0.987715321
0.984599294,0.986273,0.9876,0.983365,0.987726769,0.987806778,0.98785336,0.987892911
0.984254382,0.9859885,0.9876,0.985719,0.987337014,0.987366776,0.987445875,0.987690286
0.74183224,0,0.76989,0.721603,0.782441415,0.7828975,0.785798842,0.785089191
0.744897829,0,0.780469,0.723291,0.793000591,0.792969591,0.793306211,0.79123433
0.747310669,0,0.789103,0.72814,0.796235801,0.796269207,0.796595222,0.79661542
0.720538638,0,0.736978,0.691579,0.73380327,0.734425013,0.738215201,0.746014493
0.725369729,0,0.76989,0.694801,0.747905414,0.748834802,0.753695876,0.762027642
0.728452566,0,0.736978,0.70062,0.745182981,0.746698224,0.745878427,0.76101517
0.704997498,0,0,0.65725,0.698627151,0.700928805,0.692251356,0.719514838
0.699715727,0,0.736978,0.667643,0.707935904,0.709824348,0.716452718,0.737714719
0.716337595,0,0.704019,0.66968,0.724674254,0.728681614,0.733026959,0.726273573
0.7120449,0,0.704019,0.6625,0.704255911,0.706480067,0.708629886,0.714211996
0.710384979,0,0.704019,0.674692,0.703831816,0.706763786,0.711129931,0.694008694
0.723883147,0,0.704019,0.65361,0.699355217,0.700424398,0.709312126,0.721818996
0.6631595,0,0,0.613609,0.618204179,0.618256804,0.621594592,0
0.727183889,0,0,0.62612,0.642640674,0.643976819,0.608408828,0
0.734148646,0,0.704019,0.694286,0.638035714,0.641150556,0.653934096,0.675978576
0.998626727,0.9983275,0.99829376,0.998388,0.998344851,0.998340573,0.998362425,0.998416711
0.971008406,0.9735315,0.9785695,0.970314,0.979590019,0.979657526,0.979812784,0.979584525
0.989289895,0.989905,0.99240382,0.990329,0.991963435,0.991967179,0.992094862,0.99229451
0.765227208,0.7885185,0.76989,0.754445,0.809218832,0.807721684,0.806930805,0.810148151
0.754072084,0.7850535,0.756239,0.74099,0.795444703,0.795763829,0.797269652,0.795903297
0.739335442,0.7813645,0.736978,0.720851,0.781881182,0.780175824,0.781462677,0.781315766
0.737041259,0,0.704019,0.719026,0.779461291,0.780243032,0.781850543,0.795697077
0.727076113,0,0.704019,0.699778,0.761447714,0.762177365,0.758585341,0.744510102
0.732745318,0,0.736978,0.71345,0.776280728,0.77572608,0.778618158,0.784353173
0.713041402,0,0.704019,0.674968,0.731776995,0.732562408,0.727578909,0.727220304
0.702934589,0,0,0.67604,0.694894994,0.691704501,0.691880585,0.696028869
0.722337037,0,0.704019,0.686385,0.722899287,0.723217208,0.724910042,0.731907282
0.710897308,0,0.704019,0.662149,0.710054471,0.71423157,0.716493477,0.736898578
0.710668907,0,0,0.645516,0.695915314,0.695698626,0.696903131,0.714348091
0.688562457,0,0,0.648065,0.677184056,0.671556902,0.663971832,0
0.671839231,0,0,0.61833,0.620820939,0.616967369,0,0
0.749436591,0,0,0.645292,0.637944978,0.639320339,0.604058554,0.673832828
0.743999762,0,0.704019,0.708,0.632315639,0.639136796,0.659723488,0.693496172
0.991021704,0.9944615,0.9944573,0.988277,0.994017034,0.994070244,0.99405939,0.994304244
0.989833277,0.993827,0.99269574,0.986081,0.993106815,0.993185239,0.993189843,0.992561788
0.992725874,0.994247,0.99312538,0.988043,0.993006801,0.993025888,0.992880073,0.992377272
0.888439956,0.8887675,0.897003,0.890316,0.907520999,0.907654372,0.908541781,0.907243342
0.89240844,0.8922525,0.9018625,0.890918,0.905327993,0.905544254,0.905712027,0.905145266
0.890041781,0.8888005,0.897732,0.889491,0.906779228,0.906892281,0.907170351,0.905510684
0.705557222,0,0,0.653964,0.650725408,0.646754889,0.660219365,0
