identA,identB,comparison_reason
GCF_000742135.1,GCF_015627065.1,evolpath_for_common_species
GCF_000742135.1,GCA_902508775.1,evolpath_for_common_species
GCF_000742135.1,GCF_900502275.1,evolpath_for_common_species
GCF_000742135.1,GCF_018439335.1,evolpath_for_common_species
GCF_000742135.1,GCF_015721435.1,evolpath_for_common_species
GCF_000742135.1,GCF_014286945.1,evolpath_for_common_species
GCF_000742135.1,GCF_002224665.1,evolpath_for_common_species
GCF_000742135.1,GCF_003812625.1,evolpath_for_common_species
GCF_000742135.1,GCF_002088895.1,evolpath_for_common_species
GCF_000742135.1,GCA_007116955.1,evolpath_for_common_species
GCF_000742135.1,GCF_003056705.1,evolpath_for_common_species
GCF_000742135.1,GCF_002984345.1,evolpath_for_common_species
GCF_000742135.1,GCF_017948435.1,evolpath_for_common_species
GCF_000742135.1,GCF_001981135.1,evolpath_for_common_species
GCF_000742135.1,GCF_001084125.1,evolpath_for_common_species
GCF_000742135.1,GCF_006507425.1,evolpath_for_common_species
GCF_000742135.1,GCF_000502975.1,evolpath_for_common_species
GCF_000742135.1,GCF_004305715.1,evolpath_for_common_species
GCF_000742135.1,GCF_900111215.1,evolpath_for_common_species
GCF_000742135.1,GCA_900758335.1,evolpath_for_common_species
GCF_000742135.1,GCF_008326505.1,evolpath_for_common_species
GCF_000195955.2,GCF_003397785.1,evolpath_for_common_species
GCF_000195955.2,GCF_003396905.1,evolpath_for_common_species
GCF_000195955.2,GCF_003393625.1,evolpath_for_common_species
GCF_000195955.2,GCF_900138275.1,evolpath_for_common_species
GCF_000195955.2,GCF_900134695.1,evolpath_for_common_species
GCF_000195955.2,GCF_900130735.1,evolpath_for_common_species
GCF_000195955.2,GCF_016628485.1,evolpath_for_common_species
GCF_000195955.2,GCF_002203135.1,evolpath_for_common_species
GCF_000195955.2,GCF_900156775.1,evolpath_for_common_species
GCF_000195955.2,GCA_013696175.1,evolpath_for_common_species
GCF_000195955.2,GCF_008868165.1,evolpath_for_common_species
GCF_000195955.2,GCF_000515155.1,evolpath_for_common_species
GCF_000195955.2,GCF_007673115.1,evolpath_for_common_species
GCF_000195955.2,GCA_000735065.1,evolpath_for_common_species
GCF_000195955.2,GCF_000296275.1,evolpath_for_common_species
GCF_000195955.2,GCA_902789845.1,evolpath_for_common_species
GCF_000195955.2,GCF_009876325.1,evolpath_for_common_species
GCF_000195955.2,GCA_002377685.1,evolpath_for_common_species
GCF_000195955.2,GCA_007116955.1,evolpath_for_common_species
GCF_000195955.2,GCF_017948435.1,evolpath_for_common_species
GCF_000195955.2,GCF_001981135.1,evolpath_for_common_species
GCF_001457615.1,GCF_003835175.1,evolpath_for_common_species
GCF_001457615.1,GCF_001181825.1,evolpath_for_common_species
GCF_001457615.1,GCF_003408495.1,evolpath_for_common_species
GCF_001457615.1,GCF_001654435.1,evolpath_for_common_species
GCF_001457615.1,GCF_001450465.1,evolpath_for_common_species
GCF_001457615.1,GCF_003968475.1,evolpath_for_common_species
GCF_001457615.1,GCF_017948435.1,evolpath_for_common_species
GCF_001457615.1,GCF_902497715.1,evolpath_for_common_species
GCF_001457615.1,GCF_001716855.1,evolpath_for_common_species
GCF_001457615.1,GCA_900478005.2,evolpath_for_common_species
GCF_001457615.1,GCA_900476735.2,evolpath_for_common_species
GCF_001457615.1,GCF_900175185.1,evolpath_for_common_species
GCF_001457615.1,GCA_007116955.1,evolpath_for_common_species
GCF_001457615.1,GCF_001981135.1,evolpath_for_common_species
GCF_001457615.1,GCF_001084125.1,evolpath_for_common_species
GCF_001457615.1,GCF_006507425.1,evolpath_for_common_species
GCF_001457615.1,GCF_000502975.1,evolpath_for_common_species
GCF_001457615.1,GCF_004305715.1,evolpath_for_common_species
GCF_001457615.1,GCF_900111215.1,evolpath_for_common_species
GCF_001457615.1,GCA_900758335.1,evolpath_for_common_species
GCF_001457615.1,GCF_008326505.1,evolpath_for_common_species
GCF_001457635.1,GCF_002081355.1,evolpath_for_common_species
GCF_001457635.1,GCF_900056155.1,evolpath_for_common_species
GCF_001457635.1,GCF_900050325.1,evolpath_for_common_species
GCF_001457635.1,GCF_900111215.1,evolpath_for_common_species
GCF_001457635.1,GCF_900054285.1,evolpath_for_common_species
GCF_001457635.1,GCF_000440515.1,evolpath_for_common_species
GCF_001457635.1,GCA_905209015.1,evolpath_for_common_species
GCF_001457635.1,GCF_000305995.1,evolpath_for_common_species
GCF_001457635.1,GCF_002441765.1,evolpath_for_common_species
GCF_001457635.1,GCF_008326505.1,evolpath_for_common_species
GCF_001457635.1,GCF_009913815.1,evolpath_for_common_species
GCF_001457635.1,GCF_000390625.1,evolpath_for_common_species
GCF_001457635.1,GCF_001204095.1,evolpath_for_common_species
GCF_001457635.1,GCF_002221945.1,evolpath_for_common_species
GCF_001457635.1,GCF_016767285.1,evolpath_for_common_species
GCF_001457635.1,GCA_007116955.1,evolpath_for_common_species
GCF_001457635.1,GCF_017948435.1,evolpath_for_common_species
GCF_001457635.1,GCF_001981135.1,evolpath_for_common_species
GCF_001027105.1,GCF_001204095.1,evolpath_for_common_species
GCF_001027105.1,GCF_009912695.1,evolpath_for_common_species
GCF_001027105.1,GCF_003423725.1,evolpath_for_common_species
GCF_001027105.1,GCF_002221945.1,evolpath_for_common_species
GCF_001027105.1,GCF_003035865.1,evolpath_for_common_species
GCF_001027105.1,GCF_004166435.1,evolpath_for_common_species
GCF_001027105.1,GCF_017028935.1,evolpath_for_common_species
GCF_001027105.1,GCF_004359705.1,evolpath_for_common_species
GCF_001027105.1,GCF_017583105.1,evolpath_for_common_species
GCF_001027105.1,GCF_903994055.1,evolpath_for_common_species
GCF_001027105.1,GCA_015255305.1,evolpath_for_common_species
GCF_001027105.1,GCF_003351945.1,evolpath_for_common_species
GCF_001027105.1,GCF_900111215.1,evolpath_for_common_species
GCF_001027105.1,GCF_008326505.1,evolpath_for_common_species
GCF_001027105.1,GCA_905209015.1,evolpath_for_common_species
GCF_001027105.1,GCA_007116955.1,evolpath_for_common_species
GCF_001027105.1,GCF_017948435.1,evolpath_for_common_species
GCF_001027105.1,GCF_001981135.1,evolpath_for_common_species
GCA_003162175.1,GCA_003142655.1,evolpath_for_common_species
GCA_003162175.1,GCA_003161665.1,evolpath_for_common_species
GCA_003162175.1,GCA_003168415.1,evolpath_for_common_species
GCA_003162175.1,GCA_015661435.1,evolpath_for_common_species
GCA_003162175.1,GCA_003159695.1,evolpath_for_common_species
GCA_003162175.1,GCA_003141075.1,evolpath_for_common_species
GCA_003162175.1,GCF_017612575.1,evolpath_for_common_species
GCA_003162175.1,GCF_014202515.1,evolpath_for_common_species
GCA_003162175.1,GCA_001512365.1,evolpath_for_common_species
GCA_003162175.1,GCA_002505615.1,evolpath_for_common_species
GCA_003162175.1,GCA_902763115.1,evolpath_for_common_species
GCA_003162175.1,GCF_003948265.1,evolpath_for_common_species
GCF_003697165.2,GCF_002224665.1,evolpath_for_common_species
GCF_003697165.2,GCF_003812625.1,evolpath_for_common_species
GCF_003697165.2,GCF_005390905.1,evolpath_for_common_species
GCF_003697165.2,GCF_002965205.1,evolpath_for_common_species
GCF_003697165.2,GCF_001549955.1,evolpath_for_common_species
GCF_003697165.2,GCF_008064895.1,evolpath_for_common_species
GCF_003697165.2,GCF_002088895.1,evolpath_for_common_species
GCF_003697165.2,GCF_003117635.1,evolpath_for_common_species
GCF_003697165.2,GCF_001222945.1,evolpath_for_common_species
GCF_003697165.2,GCA_007116955.1,evolpath_for_common_species
GCF_003697165.2,GCF_003056705.1,evolpath_for_common_species
GCF_003697165.2,GCF_002984345.1,evolpath_for_common_species
GCF_003697165.2,GCF_017948435.1,evolpath_for_common_species
GCF_003697165.2,GCF_001981135.1,evolpath_for_common_species
GCF_003697165.2,GCF_001084125.1,evolpath_for_common_species
GCF_003697165.2,GCF_006507425.1,evolpath_for_common_species
GCF_003697165.2,GCF_000502975.1,evolpath_for_common_species
GCF_003697165.2,GCF_004305715.1,evolpath_for_common_species
GCF_003697165.2,GCF_900111215.1,evolpath_for_common_species
GCF_003697165.2,GCA_900758335.1,evolpath_for_common_species
GCF_003697165.2,GCF_008326505.1,evolpath_for_common_species
GCF_000970205.1,GCF_000979375.1,evolpath_for_common_species
GCF_000970205.1,GCA_002496095.1,evolpath_for_common_species
GCF_000970205.1,GCF_000980005.1,evolpath_for_common_species
GCF_000970205.1,GCA_001512365.1,evolpath_for_common_species
GCF_000970205.1,GCA_002508475.1,evolpath_for_common_species
GCF_000970205.1,GCA_002496495.1,evolpath_for_common_species
GCF_000970205.1,GCF_002973515.1,evolpath_for_common_species
GCF_000970205.1,GCF_900774285.1,evolpath_for_common_species
GCF_000970205.1,GCA_017394465.1,evolpath_for_common_species
GCF_000970205.1,GCA_005504395.1,evolpath_for_common_species
GCF_000970205.1,GCA_905171675.1,evolpath_for_common_species
GCF_000970205.1,GCA_013374465.1,evolpath_for_common_species
GCF_000970205.1,GCA_002494745.1,evolpath_for_common_species
GCF_000970205.1,GCA_014361255.1,evolpath_for_common_species
GCF_000970205.1,GCA_002067955.1,evolpath_for_common_species
GCF_000970205.1,GCF_017612575.1,evolpath_for_common_species
GCF_000970205.1,GCF_014202515.1,evolpath_for_common_species
GCF_000970205.1,GCF_003666065.1,evolpath_for_common_species
GCF_000970205.1,GCA_002505615.1,evolpath_for_common_species
GCF_000970205.1,GCA_902763115.1,evolpath_for_common_species
GCF_000970205.1,GCF_003948265.1,evolpath_for_common_species
GCF_000006945.2,GCF_003117635.1,evolpath_for_common_species
GCF_000006945.2,GCF_001222945.1,evolpath_for_common_species
GCF_000006945.2,GCF_000624835.2,evolpath_for_common_species
GCF_000006945.2,GCA_900475895.1,evolpath_for_common_species
GCF_000006945.2,GCF_003064215.1,evolpath_for_common_species
GCF_000006945.2,GCF_006364755.1,evolpath_for_common_species
GCF_000006945.2,GCF_002224665.1,evolpath_for_common_species
GCF_000006945.2,GCF_003812625.1,evolpath_for_common_species
GCF_000006945.2,GCF_002088895.1,evolpath_for_common_species
GCF_000006945.2,GCA_007116955.1,evolpath_for_common_species
GCF_000006945.2,GCF_003056705.1,evolpath_for_common_species
GCF_000006945.2,GCF_002984345.1,evolpath_for_common_species
GCF_000006945.2,GCF_017948435.1,evolpath_for_common_species
GCF_000006945.2,GCF_001981135.1,evolpath_for_common_species
GCF_000006945.2,GCF_001084125.1,evolpath_for_common_species
GCF_000006945.2,GCF_006507425.1,evolpath_for_common_species
GCF_000006945.2,GCF_000502975.1,evolpath_for_common_species
GCF_000006945.2,GCF_004305715.1,evolpath_for_common_species
GCF_000006945.2,GCF_900111215.1,evolpath_for_common_species
GCF_000006945.2,GCA_900758335.1,evolpath_for_common_species
GCF_000006945.2,GCF_008326505.1,evolpath_for_common_species
GCF_000012285.1,GCF_001560085.1,evolpath_for_common_species
GCF_000012285.1,GCF_001559985.1,evolpath_for_common_species
GCF_000012285.1,GCF_001560485.1,evolpath_for_common_species
GCF_000012285.1,GCF_000189575.1,evolpath_for_common_species
GCF_000012285.1,GCA_007050095.1,evolpath_for_common_species
GCF_000012285.1,GCF_009602405.1,evolpath_for_common_species
GCF_000012285.1,GCA_002496045.1,evolpath_for_common_species
GCF_000012285.1,GCA_015521315.1,evolpath_for_common_species
GCF_000012285.1,GCA_011380155.1,evolpath_for_common_species
GCF_000012285.1,GCA_000494205.1,evolpath_for_common_species
GCF_000012285.1,GCA_003649305.1,evolpath_for_common_species
GCF_000012285.1,GCA_009903945.1,evolpath_for_common_species
GCF_000012285.1,GCF_003948265.1,evolpath_for_common_species
GCF_000012285.1,GCA_001917505.1,evolpath_for_common_species
GCF_000012285.1,GCA_011366955.1,evolpath_for_common_species
GCF_000012285.1,GCA_002505615.1,evolpath_for_common_species
GCF_000012285.1,GCF_017612575.1,evolpath_for_common_species
GCF_000012285.1,GCA_902763115.1,evolpath_for_common_species
